seq_id,ddG_kcal_mol,status
SD_C_D0086,3.0429,fail_ddG
SD_C_D0083,3.7569,fail_ddG
SD_C_D0089,2.8751,pass
SD_C_D0090,0.8819,pass
SD_C_D0091,1.936,pass
SD_C_D0093,1.893,pass
SD_C_D0094,1.2762,pass
SD_C_D0097,0.9736,pass
SD_C_D0088,1.2443,pass
SD_C_D0095,1.7604,pass
SD_C_D0101,1.6232,pass
SD_C_D0098,1.6916,pass
SD_C_D0092,3.6475,fail_ddG
SD_C_D0105,1.0966,pass
SD_C_D0096,0.8635,pass
SD_C_D0102,1.8419,pass
SD_C_D0099,2.5154,pass
SD_C_D0109,1.0876,pass
SD_C_D0100,0.8057,pass
SD_C_D0106,1.3974,pass
SD_C_D0103,0.9501,pass
SD_C_D0104,1.2779,pass
SD_C_D0110,2.105,pass
SD_C_D0107,1.9089,pass
SD_C_D0108,0.0435,pass
SD_C_D0111,,error
SD_C_D0114,0.6188,pass
SD_C_D0113,3.268,fail_ddG
SD_C_D0115,-0.1932,pass
SD_C_D0112,1.459,pass
SD_C_D0119,2.0741,pass
SD_C_D0118,6.7795,fail_ddG
SD_C_D0123,1.3886,pass
SD_C_D0116,0.5196,pass
SD_C_D0122,2.3277,pass
SD_C_D0120,1.4917,pass
SD_C_D0127,1.3522,pass
SD_C_D0121,0.205,pass
SD_C_D0125,2.2638,pass
SD_C_D0126,2.2034,pass
SD_C_D0131,2.3742,pass
SD_C_D0130,1.1491,pass
SD_C_D0124,1.5687,pass
SD_C_D0129,1.3623,pass
SD_C_D0128,0.561,pass
SD_C_D0135,0.9088,pass
SD_C_D0134,3.3952,fail_ddG
SD_C_D0133,4.8095,fail_ddG
SD_C_D0139,0.3404,pass
SD_C_D0138,1.9506,pass
SD_C_D0143,2.0152,pass
SD_C_D0137,2.884,pass
SD_C_D0142,0.8946,pass
SD_C_D0132,1.7168,pass
SD_C_D0146,1.8244,pass
SD_C_D0149,1.5259,pass
SD_C_D0136,1.3635,pass
SD_G_0002,1.2125,pass
SD_C_D0141,1.2727,pass
SD_C_D0153,3.6601,fail_ddG
SD_C_D0150,1.6098,pass
SD_C_D0140,1.5835,pass
SD_C_D0145,0.9443,pass
SD_C_D0157,2.9468,pass
SD_C_D0144,,error
SD_C_D0148,2.655,pass
SD_C_D0154,1.9823,pass
SD_C_D0161,3.4662,fail_ddG
SD_C_D0147,1.5902,pass
SD_C_D0165,0.4042,pass
SD_C_D0152,1.0508,pass
SD_C_D0169,0.9597,pass
SD_C_D0156,4.0572,fail_ddG
SD_C_D0158,4.6855,fail_ddG
SD_C_D0151,0.7072,pass
SD_C_D0173,1.6686,pass
SD_C_D0162,2.0041,pass
SD_C_D0155,5.0903,fail_ddG
SD_C_D0177,1.2529,pass
SD_C_D0160,3.3483,fail_ddG
SD_C_D0181,,error
SD_C_D0166,1.4732,pass
SD_C_D0164,1.6122,pass
SD_C_D0159,3.7614,fail_ddG
SD_C_D0170,0.4405,pass
SD_C_D0163,0.2275,pass
SD_C_D0185,1.1542,pass
SD_C_D0174,0.3969,pass
SD_C_D0167,1.4269,pass
SD_C_D0189,2.562,pass
SD_C_D0168,1.1845,pass
SD_C_D0172,,error
SD_C_D0171,2.9573,pass
SD_C_D0176,2.2959,pass
SD_C_D0178,0.4573,pass
SD_C_D0182,,error
SD_C_D0193,1.8688,pass
SD_C_D0180,2.6275,pass
SD_C_D0175,0.7473,pass
SD_C_D0184,0.4901,pass
SD_C_D0186,1.8061,pass
SD_C_D0198,1.8709,pass
SD_C_D0188,,error
SD_C_D0202,0.9891,pass
SD_C_D0190,1.0428,pass
SD_C_D0179,1.7111,pass
SD_C_D0206,4.6932,fail_ddG
SD_C_D0183,1.2251,pass
SD_C_D0195,7.6826,fail_ddG
SD_C_D0192,2.0859,pass
SD_C_D0199,3.1129,fail_ddG
SD_C_D0210,2.2525,pass
SD_C_D0203,1.6507,pass
SD_C_D0197,3.4181,fail_ddG
SD_C_D0214,1.7464,pass
SD_C_D0187,2.5215,pass
SD_C_D0207,1.9686,pass
SD_C_D0217,0.576,pass
SD_C_D0201,0.2716,pass
SD_C_D0211,1.1945,pass
SD_C_D0221,0.7308,pass
SD_C_D0191,1.992,pass
SD_C_D0205,0.745,pass
SD_C_D0209,1.9708,pass
SD_C_D0196,2.7596,pass
SD_C_D0225,2.4464,pass
SD_G_0013,7.0235,fail_ddG
SD_C_D0229,1.2038,pass
SD_C_D0213,1.7406,pass
SD_C_D0200,0.9736,pass
SD_C_D0233,0.1934,pass
SD_C_D0204,1.3945,pass
SD_C_D0216,1.1212,pass
SD_C_D0218,1.9984,pass
SD_C_D0237,0.1556,pass
SD_C_D0208,3.7534,fail_ddG
SD_C_D0220,1.915,pass
SD_C_D0222,2.0796,pass
SD_C_D0212,1.0733,pass
SD_C_D0226,1.2013,pass
SD_C_D0241,2.0869,pass
SD_C_D0224,1.0571,pass
SD_C_D0245,1.8265,pass
SD_C_D0230,1.5129,pass
SD_C_D0215,1.0902,pass
SD_C_D0228,1.9919,pass
SD_C_D0234,0.5568,pass
SD_C_D0219,0.7043,pass
SD_C_D0248,2.1598,pass
SD_C_D0232,2.0154,pass
SD_C_D0238,1.6954,pass
SD_C_D0223,1.9359,pass
SD_C_D0252,0.8596,pass
SD_C_D0236,0.4556,pass
SD_C_D0242,1.5864,pass
SD_C_D0227,1.5454,pass
SD_C_D0256,6.8037,fail_ddG
SD_C_D0240,0.0041,pass
SD_G_0018,9.3019,fail_ddG
SD_C_D0231,2.9082,pass
SD_C_D0244,6.697,fail_ddG
SD_C_D0249,1.2516,pass
SD_C_D0235,,error
SD_C_D0247,,error
SD_C_D0253,0.6676,pass
SD_G_0006,6.8301,fail_ddG
SD_C_D0239,0.1738,pass
SD_C_D0251,0.6761,pass
SD_C_D0243,1.2109,pass
SD_C_D0246,,error
SD_C_D0255,3.0404,fail_ddG
SD_C_D0075,1.2212,pass
SD_C_D0250,1.6452,pass
SD_G_0015,0.1293,pass
SD_G_0004,3.7455,fail_ddG
SD_C_S0000,1.1883,pass
SD_C_D0085,0.6583,pass
SD_C_D0254,7.8501,fail_ddG
SD_G_0017,1.0942,pass
SD_C_S0001,1.6003,pass
SD_G_0007,1.9612,pass
SD_G_0010,3.294,fail_ddG
SD_C_D0117,2.9134,pass
SD_G_0031,-0.2372,pass
SD_G_0005,3.3672,fail_ddG
SD_G_0014,2.479,pass
SD_G_0011,3.4377,fail_ddG
SD_C_S0008,-0.8316,pass
SD_C_D0194,2.1707,pass
SD_G_0038,-2.4645,pass
SD_C_S0012,0.9496,pass
SD_C_S0015,-0.0234,pass
SD_G_0008,-0.381,pass
SD_G_0029,5.7355,fail_ddG
SD_G_0036,0.5592,pass
SD_C_S0019,-0.102,pass
SD_C_S0004,1.8599,pass
SD_C_S0023,0.7621,pass
SD_C_S0007,0.9669,pass
SD_C_S0027,1.5381,pass
SD_G_0020,3.0575,fail_ddG
SD_C_S0011,0.0749,pass
SD_C_S0031,0.3134,pass
SD_G_0025,0.9885,pass
SD_C_S0035,0.139,pass
SD_C_S0014,0.6476,pass
SD_C_S0002,0.1498,pass
SD_C_S0039,-0.0348,pass
SD_G_0012,4.4586,fail_ddG
SD_C_S0005,-0.2792,pass
SD_C_S0018,-0.608,pass
SD_C_S0043,,error
SD_C_S0009,1.1896,pass
SD_C_S0022,-0.7541,pass
SD_G_0019,4.2144,fail_ddG
SD_C_S0013,-0.1796,pass
SD_C_S0047,1.9662,pass
SD_C_S0026,-0.1005,pass
SD_C_S0016,2.9489,pass
SD_C_S0051,0.7758,pass
SD_C_S0030,0.9399,pass
SD_G_0040,2.7809,pass
SD_C_S0020,0.3297,pass
SD_C_S0034,-0.0171,pass
SD_C_S0003,-0.0791,pass
SD_G_0024,2.4018,pass
SD_C_S0024,1.6854,pass
SD_C_S0038,0.9412,pass
SD_C_S0006,0.549,pass
SD_C_S0057,2.0766,pass
SD_C_S0028,-0.085,pass
SD_C_S0042,1.138,pass
SD_C_S0010,0.2506,pass
SD_C_S0061,-1.7745,pass
SD_C_S0032,0.6811,pass
SD_G_0001,5.8148,fail_ddG
SD_C_S0046,-0.4473,pass
SD_C_S0065,1.415,pass
SD_C_S0036,0.1297,pass
SD_C_S0069,0.9233,pass
SD_C_S0017,2.392,pass
SD_C_S0050,-1.5329,pass
SD_C_S0040,-0.9235,pass
SD_C_S0073,0.5826,pass
SD_C_S0021,,error
SD_C_S0044,0.1775,pass
SD_G_0023,6.8965,fail_ddG
SD_C_S0025,2.076,pass
SD_C_S0077,0.3229,pass
SD_C_S0048,5.7295,fail_ddG
SD_C_S0056,2.6952,pass
SD_C_S0029,2.6944,pass
SD_C_S0081,3.7456,fail_ddG
SD_C_S0052,0.0393,pass
SD_C_S0060,0.8801,pass
SD_C_S0033,0.875,pass
SD_C_S0054,-0.0837,pass
SD_C_S0085,0.7382,pass
SD_C_S0064,0.1636,pass
SD_C_S0037,-0.0517,pass
SD_C_S0089,-0.8429,pass
SD_C_S0058,1.7361,pass
SD_C_S0068,1.1623,pass
SD_C_S0041,0.1207,pass
SD_C_S0093,,error
SD_C_S0072,,error
SD_C_S0045,,error
SD_C_S0062,,error
SD_C_S0049,1.0742,pass
SD_C_S0076,0.7144,pass
SD_C_S0066,1.8234,pass
SD_C_S0097,-0.4129,pass
SD_C_S0053,-0.5023,pass
SD_C_S0101,,error
